seed,dim,transform,metric,ground_truth,r10,r100,rerank_r10
7,192,center+truncate,cosine,cosine,0.661,0.972,nan
7,256,truncate,ip,ip,0.406,0.89,0.89
7,256,truncate,ip,cosine,0.302,0.772,nan
7,256,truncate,cosine,ip,0.713,1.0,1.0
7,256,truncate,cosine,cosine,0.769,0.999,nan
7,256,center+truncate,ip,ip,0.485,0.946,0.946
7,256,center+truncate,ip,cosine,0.429,0.9,nan
7,256,center+truncate,cosine,ip,0.678,0.99,0.99
7,256,center+truncate,cosine,cosine,0.684,0.978,nan
7,384,truncate,ip,ip,0.533,0.946,0.946
7,384,truncate,ip,cosine,0.404,0.854,nan
7,384,truncate,cosine,ip,0.754,1.0,1.0
7,384,truncate,cosine,cosine,0.828,1.0,nan
7,384,center+truncate,ip,ip,0.507,0.956,0.956
7,384,center+truncate,ip,cosine,0.46,0.911,nan
7,384,center+truncate,cosine,ip,0.706,0.996,0.996
7,384,center+truncate,cosine,cosine,0.716,0.984,nan
7,512,truncate,ip,ip,0.681,0.997,0.997
7,512,truncate,ip,cosine,0.758,1.0,nan
7,512,truncate,cosine,ip,0.721,1.0,1.0
7,512,truncate,cosine,cosine,0.903,1.0,nan
7,512,center+truncate,ip,ip,0.54,0.969,0.969
7,512,center+truncate,ip,cosine,0.483,0.928,nan
7,512,center+truncate,cosine,ip,0.727,0.998,0.998
7,512,center+truncate,cosine,cosine,0.736,0.989,nan
7,768,truncate,ip,ip,1.0,1.0,1.0
7,768,truncate,ip,cosine,0.758,0.993,nan
7,768,truncate,cosine,ip,0.758,1.0,1.0
7,768,truncate,cosine,cosine,1.0,1.0,nan
7,768,center+truncate,ip,ip,0.556,0.969,0.969
7,768,center+truncate,ip,cosine,0.491,0.921,nan
7,768,center+truncate,cosine,ip,0.748,0.998,0.998
7,768,center+truncate,cosine,cosine,0.749,0.99,nan
